"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,data_year,last_name,first_name,Name,Name_norm,diff_xwoba,breakout_score,diff_babip
"Vaughn, Andrew",683734,2025,447,406,103,14,0,31,80,0.254,0.307,0.411,0.718,0.157,0.319,0.284,0.444,0.357,0.353,90.7,13.3,7.85,35,65,2025,Vaughn,Andrew,Andrew Vaughn,andrewvaughn,-0.0040000000000000036,26.890000000000004,-0.019000000000000017
"Valenzuela, Brandon",678218,2026,168,147,36,7,1,19,42,0.245,0.329,0.429,0.758,0.184,0.293,0.251,0.42,0.334,0.334,89.5,17.4,8.4,17,19,2026,Valenzuela,Brandon,Brandon Valenzuela,brandonvalenzuela,0.0,26.830000000000002,0.007000000000000006
"Realmuto, J.T.",592663,2025,550,502,129,12,8,35,129,0.257,0.315,0.384,0.699,0.127,0.278,0.253,0.4,0.292,0.317,89.65,11.1,7.0,57,52,2025,Realmuto,J.T.,J.T. Realmuto,jtrealmuto,0.025000000000000022,26.740000000000013,0.021999999999999964
"Marte, Starling",516782,2025,329,293,79,9,7,22,68,0.27,0.335,0.41,0.745,0.14,0.338,0.249,0.402,0.314,0.318,88.4,10.0,10.55,37,34,2025,Marte,Starling,Starling Marte,starlingmarte,0.0040000000000000036,26.68000000000001,-0.038000000000000034
"Marte, Noelvi",682622,2025,360,339,89,14,10,16,85,0.263,0.3,0.448,0.748,0.185,0.264,0.236,0.404,0.299,0.302,88.6,12.7,8.5,45,51,2025,Marte,Noelvi,Noelvi Marte,noelvimarte,0.0030000000000000027,26.27999999999999,0.035999999999999976
"Guzman, Denzer",694203,2026,73,67,18,3,1,6,15,0.269,0.329,0.448,0.777,0.179,0.306,0.256,0.426,0.34,0.324,88.9,11.5,9.6,7,12,2026,Guzman,Denzer,Denzer Guzman,denzerguzman,-0.016000000000000014,25.90000000000001,-0.006000000000000005
"McCann, James",543510,2025,137,123,32,5,0,8,33,0.26,0.324,0.431,0.755,0.171,0.3,0.21,0.345,0.268,0.26,91.45,8.3,7.2,18,17,2025,McCann,James,James McCann,jamesmccann,-0.008000000000000007,25.860000000000007,0.0
"Yastrzemski, Mike",573262,2025,558,477,111,17,7,72,108,0.233,0.333,0.403,0.736,0.17,0.273,0.23,0.372,0.306,0.308,90.75,20.4,6.3,68,46,2025,Yastrzemski,Mike,Mike Yastrzemski,mikeyastrzemski,0.0020000000000000018,25.77,0.02699999999999997
"Troy, Tommy",694371,2026,102,92,21,3,0,10,23,0.228,0.304,0.38,0.684,0.152,0.273,0.238,0.409,0.304,0.316,84.9,12.4,11.6,17,7,2026,Troy,Tommy,Tommy Troy,tommytroy,0.01200000000000001,25.63000000000001,0.02699999999999997
"Romo, Drew",691011,2026,108,95,13,5,1,10,28,0.137,0.224,0.337,0.561,0.2,0.127,0.183,0.316,0.249,0.261,84.7,12.9,8.7,9,11,2026,Romo,Drew,Drew Romo,drewromo,0.01200000000000001,25.630000000000006,0.173
"Higashioka, Kyle",543309,2025,327,303,73,11,3,20,72,0.241,0.291,0.403,0.694,0.162,0.284,0.23,0.374,0.301,0.296,88.6,17.2,9.05,33,47,2025,Higashioka,Kyle,Kyle Higashioka,kylehigashioka,-0.0050000000000000044,25.61999999999999,0.016000000000000014
"Piñango, Yohendrick",682818,2026,143,134,37,5,0,9,33,0.276,0.322,0.44,0.762,0.164,0.333,0.268,0.416,0.334,0.319,91.0,9.0,7.9,11,20,2026,Piñango,Yohendrick,Yohendrick Piñango,yohendrickpinango,-0.015000000000000013,25.329999999999995,-0.03300000000000003
"Tovar, Ezequiel",678662,2025,390,360,91,9,5,21,98,0.253,0.294,0.4,0.694,0.147,0.298,0.24,0.405,0.28,0.298,88.6,16.4,8.3,44,33,2025,Tovar,Ezequiel,Ezequiel Tovar,ezequieltovar,0.01799999999999996,25.29999999999999,0.0020000000000000018
"Tena, José",677588,2025,169,152,37,0,3,15,37,0.243,0.314,0.355,0.669,0.112,0.321,0.24,0.366,0.291,0.297,90.55,1.2,7.35,19,16,2025,Tena,José,José Tena,josetena,0.006000000000000005,25.169999999999995,-0.02100000000000002
"Bader, Harrison",664056,2025,501,448,124,17,11,39,136,0.277,0.347,0.449,0.796,0.172,0.275,0.218,0.37,0.292,0.284,88.2,12.7,9.2,61,54,2025,Bader,Harrison,Harrison Bader,harrisonbader,-0.008000000000000007,25.09,0.024999999999999967
"Cortes, Carlos",666126,2025,99,94,29,4,0,3,20,0.309,0.323,0.543,0.866,0.234,0.318,0.274,0.442,0.356,0.334,89.75,16.3,8.75,11,14,2025,Cortes,Carlos,Carlos Cortes,carloscortes,-0.021999999999999964,25.020000000000003,-0.018000000000000016
"Kreidler, Ryan",668952,2026,104,93,27,5,0,10,17,0.29,0.365,0.527,0.892,0.237,0.31,0.254,0.469,0.386,0.349,88.2,13.5,10.5,17,21,2026,Kreidler,Ryan,Ryan Kreidler,ryankreidler,-0.03700000000000003,24.92,-0.010000000000000009
"Semien, Marcus",543760,2025,534,470,108,15,11,50,93,0.23,0.305,0.364,0.669,0.134,0.248,0.249,0.404,0.284,0.317,87.25,19.4,7.4,62,62,2025,Semien,Marcus,Marcus Semien,marcussemien,0.03300000000000003,24.880000000000003,0.05199999999999999
"Matthews, Brice",694728,2026,208,192,37,6,2,13,68,0.193,0.243,0.323,0.566,0.13,0.261,0.193,0.347,0.251,0.262,87.7,12.4,8.7,19,18,2026,Matthews,Brice,Brice Matthews,bricematthews,0.01100000000000001,24.870000000000005,0.03899999999999998
"Lowe, Josh",666139,2025,435,396,87,11,18,33,109,0.22,0.283,0.366,0.649,0.146,0.258,0.225,0.372,0.271,0.284,88.95,9.3,7.05,56,40,2025,Lowe,Josh,Josh Lowe,joshlowe,0.012999999999999956,24.82,0.04199999999999998
"Mack, Joe",691788,2026,137,124,31,4,0,10,34,0.25,0.311,0.387,0.698,0.137,0.314,0.243,0.406,0.31,0.312,88.8,11.9,8.7,20,18,2026,Mack,Joe,Joe Mack,joemack,0.0020000000000000018,24.699999999999992,-0.014000000000000012
"Doyle, Brenton",686668,2025,538,502,117,15,18,30,138,0.233,0.274,0.376,0.65,0.143,0.302,0.217,0.345,0.267,0.274,88.85,9.8,8.4,57,57,2025,Doyle,Brenton,Brenton Doyle,brentondoyle,0.007000000000000006,24.439999999999987,-0.0020000000000000018
"Volpe, Anthony",683011,2025,596,539,114,19,18,43,150,0.212,0.272,0.391,0.663,0.179,0.292,0.232,0.372,0.304,0.307,89.05,12.4,7.7,65,72,2025,Volpe,Anthony,Anthony Volpe,anthonyvolpe,0.0030000000000000027,24.279999999999994,0.008000000000000007
"Kirk, Alejandro",672386,2025,506,451,127,15,1,48,59,0.282,0.348,0.421,0.769,0.139,0.24,0.238,0.386,0.288,0.299,88.15,11.9,7.05,45,76,2025,Kirk,Alejandro,Alejandro Kirk,alejandrokirk,0.01100000000000001,24.260000000000012,0.06
"Haase, Eric",606992,2025,77,70,16,2,0,4,31,0.229,0.289,0.357,0.646,0.128,0.297,0.203,0.37,0.29,0.278,84.45,5.4,13.15,11,9,2025,Haase,Eric,Eric Haase,erichaase,-0.011999999999999955,23.95000000000001,0.0030000000000000027
"Diaz, Yainer",673237,2025,567,542,139,20,1,20,95,0.256,0.284,0.417,0.701,0.161,0.274,0.262,0.411,0.288,0.303,88.65,10.2,7.0,56,70,2025,Diaz,Yainer,Yainer Diaz,yainerdiaz,0.015000000000000013,23.860000000000007,0.025999999999999968
"Bailey, Patrick",672275,2025,452,409,91,6,1,30,133,0.222,0.277,0.325,0.602,0.103,0.266,0.218,0.349,0.242,0.273,89.05,15.6,5.9,47,55,2025,Bailey,Patrick,Patrick Bailey,patrickbailey,0.031000000000000028,23.54,0.033999999999999975
"Cronenworth, Jake",630105,2025,515,419,103,11,3,69,107,0.246,0.367,0.377,0.744,0.131,0.238,0.222,0.339,0.282,0.312,87.95,14.9,5.85,61,59,2025,Cronenworth,Jake,Jake Cronenworth,jakecronenworth,0.030000000000000027,23.34000000000001,0.062
"Wilson, Weston",642215,2025,125,111,22,5,2,12,34,0.198,0.282,0.369,0.651,0.171,0.25,0.23,0.374,0.289,0.31,87.8,14.4,6.6,15,17,2025,Wilson,Weston,Weston Wilson,westonwilson,0.02100000000000002,23.179999999999993,0.04999999999999999
"Shewmake, Braden",669699,2026,79,74,18,3,0,2,13,0.243,0.26,0.405,0.665,0.162,0.254,0.236,0.388,0.286,0.281,89.5,13.7,6.3,8,8,2026,Shewmake,Braden,Braden Shewmake,bradenshewmake,-0.004999999999999949,23.120000000000005,0.045999999999999985
"Bogaerts, Xander",593428,2025,552,491,129,11,20,48,94,0.263,0.328,0.391,0.719,0.128,0.278,0.257,0.395,0.305,0.324,88.55,11.1,6.45,63,53,2025,Bogaerts,Xander,Xander Bogaerts,xanderbogaerts,0.019000000000000017,23.099999999999994,0.021999999999999964
"Bohm, Alec",664761,2025,504,464,133,11,2,29,82,0.287,0.331,0.409,0.74,0.122,0.279,0.258,0.383,0.302,0.308,90.25,6.8,5.35,53,59,2025,Bohm,Alec,Alec Bohm,alecbohm,0.006000000000000005,22.889999999999997,0.020999999999999963
"Torres, Gleyber",650402,2025,628,532,136,16,4,85,101,0.256,0.358,0.387,0.745,0.131,0.306,0.262,0.426,0.344,0.353,87.65,14.3,8.05,79,74,2025,Torres,Gleyber,Gleyber Torres,gleybertorres,0.009000000000000008,22.880000000000013,-0.006000000000000005
"White, Eli",642201,2025,271,256,60,10,10,11,70,0.234,0.27,0.406,0.676,0.172,0.266,0.248,0.394,0.282,0.298,87.35,11.3,7.6,43,35,2025,White,Eli,Eli White,eliwhite,0.016000000000000014,22.83999999999999,0.033999999999999975
"Kelly, Carson",608348,2025,421,369,92,17,2,45,80,0.249,0.333,0.428,0.761,0.179,0.296,0.242,0.399,0.336,0.322,88.6,16.4,8.0,48,50,2025,Kelly,Carson,Carson Kelly,carsonkelly,-0.014000000000000012,22.719999999999985,0.0040000000000000036
"Loftin, Nick",679845,2025,188,168,35,4,1,14,27,0.208,0.278,0.357,0.635,0.149,0.24,0.24,0.37,0.302,0.308,88.05,14.0,6.45,17,20,2025,Loftin,Nick,Nick Loftin,nickloftin,0.006000000000000005,22.639999999999993,0.06
"Eaton, Nate",681987,2025,90,81,24,1,9,6,19,0.296,0.348,0.383,0.731,0.087,0.332,0.235,0.388,0.332,0.311,89.8,8.8,8.05,16,4,2025,Eaton,Nate,Nate Eaton,nateeaton,-0.02100000000000002,22.639999999999993,-0.03200000000000003
"Kim, Ha-Seong",673490,2025,191,171,40,5,6,16,39,0.234,0.304,0.345,0.649,0.111,0.184,0.194,0.279,0.21,0.254,87.45,15.7,4.65,19,17,2025,Kim,Ha-Seong,Ha-Seong Kim,haseongkim,0.04400000000000001,22.60000000000001,0.11599999999999999
"Smith, Pavin",656976,2025,288,244,63,8,2,41,92,0.258,0.362,0.434,0.796,0.176,0.279,0.196,0.322,0.294,0.291,87.9,12.4,8.05,36,28,2025,Smith,Pavin,Pavin Smith,pavinsmith,-0.0030000000000000027,22.53000000000001,0.020999999999999963
"Wade Jr., LaMonte",664774,2025,242,209,35,2,1,27,58,0.167,0.271,0.254,0.525,0.087,0.24,0.206,0.335,0.271,0.283,89.037,21.9,5.358,19,18,2025,Wade Jr.,LaMonte,LaMonte Wade Jr.,lamontewadejr,0.011999999999999955,22.41000000000001,0.06
"Schuemann, Max",680474,2025,213,183,36,2,7,22,35,0.197,0.295,0.273,0.568,0.076,0.25,0.204,0.323,0.303,0.305,87.48,12.4,7.28,20,13,2025,Schuemann,Max,Max Schuemann,maxschuemann,0.0020000000000000018,22.28000000000001,0.04999999999999999
"Freeland, Alex",690976,2025,97,84,16,2,1,11,35,0.19,0.292,0.31,0.602,0.12,0.31,0.196,0.32,0.284,0.278,89.9,20.7,6.9,10,6,2025,Freeland,Alex,Alex Freeland,alexfreeland,-0.00599999999999995,22.180000000000017,-0.010000000000000009
"Gelof, Zack",680869,2025,101,92,16,2,1,7,46,0.174,0.23,0.272,0.502,0.098,0.324,0.187,0.346,0.293,0.258,88.7,15.2,9.8,12,7,2025,Gelof,Zack,Zack Gelof,zackgelof,-0.034999999999999976,22.16000000000001,-0.02400000000000002
"Jansen, Danny",643376,2025,337,288,62,14,0,42,86,0.215,0.321,0.399,0.72,0.184,0.239,0.183,0.314,0.294,0.276,87.65,24.0,7.4,38,36,2025,Jansen,Danny,Danny Jansen,dannyjansen,-0.01799999999999996,21.230000000000015,0.061
"Bart, Joey",663698,2025,332,285,71,4,1,40,93,0.249,0.355,0.34,0.695,0.091,0.321,0.217,0.382,0.298,0.293,87.35,9.0,9.05,21,30,2025,Bart,Joey,Joey Bart,joeybart,-0.0050000000000000044,21.20999999999999,-0.02100000000000002
"Del Castillo, Adrian",680728,2025,131,120,29,4,0,8,47,0.242,0.29,0.392,0.682,0.15,0.296,0.203,0.338,0.27,0.264,89.65,19.0,6.4,9,17,2025,Del Castillo,Adrian,Adrian Del Castillo,adriandelcastillo,-0.006000000000000005,21.10000000000001,0.0040000000000000036
"Trammell, Taylor",666211,2025,135,117,23,3,3,17,41,0.197,0.296,0.333,0.629,0.136,0.337,0.196,0.327,0.306,0.275,90.4,15.5,7.55,15,12,2025,Trammell,Taylor,Taylor Trammell,taylortrammell,-0.030999999999999972,21.070000000000014,-0.03700000000000003
"Rojas, Josh",668942,2025,211,189,34,2,4,19,48,0.18,0.252,0.259,0.511,0.079,0.23,0.206,0.313,0.248,0.258,89.675,13.4,4.13,14,11,2025,Rojas,Josh,Josh Rojas,joshrojas,0.010000000000000009,21.069999999999997,0.06999999999999998
"Torres, Bryan",663494,2026,53,47,11,3,1,5,8,0.234,0.308,0.468,0.776,0.234,0.222,0.261,0.412,0.337,0.329,85.9,11.0,7.7,7,7,2026,Torres,Bryan,Bryan Torres,bryantorres,-0.008000000000000007,21.040000000000013,0.07799999999999999
"Peraza, Oswald",672724,2025,265,244,40,5,9,17,80,0.164,0.223,0.25,0.473,0.086,0.28,0.221,0.347,0.264,0.273,87.35,8.0,7.55,24,20,2025,Peraza,Oswald,Oswald Peraza,oswaldperaza,0.009000000000000008,20.979999999999986,0.019999999999999962
"Sosa, Edmundo",624641,2025,261,243,67,11,1,10,56,0.276,0.307,0.469,0.776,0.193,0.282,0.266,0.431,0.306,0.316,87.4,9.4,6.95,30,39,2025,Sosa,Edmundo,Edmundo Sosa,edmundososa,0.010000000000000009,20.720000000000013,0.018000000000000016
"Beavers, Dylan",687637,2025,137,110,25,4,2,26,36,0.227,0.375,0.4,0.775,0.173,0.306,0.222,0.383,0.33,0.325,88.1,21.2,7.25,16,14,2025,Beavers,Dylan,Dylan Beavers,dylanbeavers,-0.0050000000000000044,20.49999999999999,-0.006000000000000005
"Larnach, Trevor",663616,2025,567,503,126,17,4,53,122,0.25,0.323,0.404,0.727,0.154,0.319,0.256,0.4,0.34,0.326,88.75,10.9,7.1,62,60,2025,Larnach,Trevor,Trevor Larnach,trevorlarnach,-0.014000000000000012,20.15,-0.019000000000000017
"Mayer, Marcelo",691785,2025,136,127,29,4,0,8,41,0.228,0.272,0.402,0.674,0.174,0.281,0.206,0.322,0.279,0.261,88.05,6.7,7.65,20,10,2025,Mayer,Marcelo,Marcelo Mayer,marcelomayer,-0.018000000000000016,20.129999999999992,0.01899999999999996
"Carter, Evan",694497,2025,220,194,48,5,14,19,41,0.247,0.336,0.392,0.728,0.145,0.249,0.219,0.347,0.3,0.3,87.3,13.7,6.4,31,25,2025,Carter,Evan,Evan Carter,evancarter,0.0,19.949999999999996,0.05099999999999999
"Gurriel Jr., Lourdes",666971,2025,546,500,124,19,10,31,76,0.248,0.295,0.418,0.713,0.17,0.258,0.242,0.364,0.28,0.296,87.3,16.3,6.0,52,80,2025,Gurriel Jr.,Lourdes,Lourdes Gurriel Jr.,lourdesgurrieljr,0.01599999999999996,19.89999999999999,0.04199999999999998
"Heim, Jonah",641680,2025,433,395,84,11,3,32,88,0.213,0.271,0.332,0.603,0.119,0.238,0.226,0.366,0.301,0.288,87.5,14.5,6.5,38,43,2025,Heim,Jonah,Jonah Heim,jonahheim,-0.013000000000000012,19.82,0.062
"Domínguez, Jasson",691176,2025,429,381,98,10,23,41,115,0.257,0.331,0.388,0.719,0.131,0.294,0.246,0.353,0.3,0.292,90.0,13.0,5.1,58,47,2025,Domínguez,Jasson,Jasson Domínguez,jassondominguez,-0.008000000000000007,19.7,0.006000000000000005
"Young, Cole",702284,2025,257,223,47,4,1,28,47,0.211,0.302,0.305,0.607,0.094,0.268,0.25,0.383,0.289,0.313,87.8,17.2,5.15,24,24,2025,Young,Cole,Cole Young,coleyoung,0.02400000000000002,19.679999999999993,0.03199999999999997
"Massey, Michael",686681,2025,277,262,64,3,2,9,43,0.244,0.268,0.313,0.581,0.069,0.279,0.239,0.383,0.286,0.282,89.0,22.2,5.65,20,20,2025,Massey,Michael,Michael Massey,michaelmassey,-0.0040000000000000036,19.669999999999998,0.020999999999999963
"Ramírez, Pedro",699393,2026,54,50,13,1,2,3,9,0.26,0.302,0.38,0.682,0.12,0.3,0.27,0.375,0.301,0.301,90.0,7.9,4.8,7,6,2026,Ramírez,Pedro,Pedro Ramírez,pedroramirez,0.0,19.619999999999997,0.0
"Yoshida, Masataka",807799,2025,205,188,50,4,3,10,24,0.266,0.307,0.388,0.695,0.122,0.278,0.261,0.368,0.306,0.312,89.4,5.7,4.4,16,26,2025,Yoshida,Masataka,Masataka Yoshida,masatakayoshida,0.006000000000000005,19.420000000000012,0.021999999999999964
"Dunn, Blake",694362,2025,75,60,9,1,1,8,25,0.15,0.32,0.233,0.553,0.083,0.294,0.215,0.303,0.296,0.292,88.85,-0.3,5.75,10,7,2025,Dunn,Blake,Blake Dunn,blakedunn,-0.0040000000000000036,19.01999999999999,0.006000000000000005
"Mullins, Cedric",656775,2025,498,435,94,17,22,50,120,0.216,0.299,0.391,0.69,0.175,0.242,0.2,0.332,0.291,0.276,88.55,23.3,5.2,58,59,2025,Mullins,Cedric,Cedric Mullins,cedricmullins,-0.014999999999999958,18.72,0.057999999999999996
"Pagés, Pedro",686780,2025,389,361,83,11,0,19,107,0.23,0.272,0.363,0.635,0.133,0.278,0.218,0.354,0.273,0.271,87.5,12.4,6.65,38,45,2025,Pagés,Pedro,Pedro Pagés,pedropages,-0.0020000000000000018,18.66,0.021999999999999964
"Young, Jacob",696285,2025,364,324,75,2,15,27,65,0.231,0.296,0.287,0.583,0.056,0.266,0.258,0.36,0.273,0.298,88.3,3.8,4.2,34,31,2025,Young,Jacob,Jacob Young,jacobyoung,0.024999999999999967,18.65999999999999,0.033999999999999975
"Mateo, Jorge",622761,2025,83,79,14,1,15,4,30,0.177,0.217,0.266,0.483,0.089,0.307,0.22,0.357,0.265,0.269,87.85,9.8,6.8,9,3,2025,Mateo,Jorge,Jorge Mateo,jorgemateo,0.0040000000000000036,18.64999999999999,-0.007000000000000006
"Donovan, Brendan",680977,2025,515,460,132,10,3,42,67,0.287,0.353,0.422,0.775,0.135,0.307,0.272,0.416,0.355,0.346,87.8,12.2,6.6,64,50,2025,Donovan,Brendan,Brendan Donovan,brendandonovan,-0.009000000000000008,18.64999999999999,-0.007000000000000006
"Fry, David",681807,2025,157,146,25,8,1,9,58,0.171,0.229,0.363,0.592,0.192,0.246,0.16,0.266,0.282,0.237,87.2,23.0,8.0,16,23,2025,Fry,David,David Fry,davidfry,-0.044999999999999984,18.240000000000006,0.05399999999999999
"Osuna, Alejandro",696030,2025,176,151,32,2,5,21,34,0.212,0.313,0.278,0.591,0.066,0.28,0.268,0.355,0.285,0.328,88.6,12.0,3.0,12,15,2025,Osuna,Alejandro,Alejandro Osuna,alejandroosuna,0.04300000000000004,18.19999999999999,0.019999999999999962
"Thomas, Lane",657041,2025,142,125,20,4,4,14,44,0.16,0.246,0.272,0.518,0.112,0.232,0.203,0.31,0.269,0.279,87.65,23.5,4.55,10,11,2025,Thomas,Lane,Lane Thomas,lanethomas,0.010000000000000009,18.180000000000014,0.06799999999999998
"Lile, Daylen",695734,2025,351,321,96,9,8,21,56,0.299,0.347,0.498,0.845,0.199,0.308,0.277,0.425,0.333,0.33,88.1,15.0,5.95,51,41,2025,Lile,Daylen,Daylen Lile,daylenlile,-0.0030000000000000027,18.059999999999988,-0.008000000000000007
"Jones, Spencer",682987,2026,74,65,14,2,1,9,32,0.215,0.311,0.338,0.649,0.123,0.387,0.156,0.264,0.295,0.242,95.8,19.1,3.1,5,7,2026,Jones,Spencer,Spencer Jones,spencerjones,-0.05299999999999999,18.049999999999994,-0.08700000000000002
"Johnston, Troy",687859,2025,121,112,31,4,2,8,26,0.277,0.331,0.42,0.751,0.143,0.354,0.279,0.426,0.344,0.335,89.4,14.6,5.95,12,13,2025,Johnston,Troy,Troy Johnston,troyjohnston,-0.008999999999999952,17.980000000000018,-0.05399999999999999
"Lee, Hao-Yu",701678,2026,130,123,31,3,1,6,35,0.252,0.287,0.382,0.669,0.13,0.329,0.224,0.367,0.294,0.273,87.9,17.4,7.9,9,11,2026,Lee,Hao-Yu,Hao-Yu Lee,haoyulee,-0.020999999999999963,17.930000000000014,-0.029000000000000026
"Campusano, Luis",669134,2026,58,52,15,3,0,5,15,0.288,0.362,0.596,0.958,0.308,0.353,0.251,0.449,0.409,0.34,86.5,11.9,10.8,9,10,2026,Campusano,Luis,Luis Campusano,luiscampusano,-0.06899999999999995,17.230000000000008,-0.05299999999999999
"Church, Nathan",701675,2025,65,56,10,1,1,3,18,0.179,0.254,0.25,0.504,0.071,0.272,0.217,0.329,0.268,0.269,87.6,5.4,5.5,9,8,2025,Church,Nathan,Nathan Church,nathanchurch,0.0010000000000000009,17.059999999999988,0.02799999999999997
"Marsee, Jakob",805300,2025,234,209,61,5,14,22,48,0.292,0.363,0.478,0.841,0.186,0.307,0.247,0.374,0.325,0.323,87.8,10.9,5.75,28,33,2025,Marsee,Jakob,Jakob Marsee,jakobmarsee,-0.0020000000000000018,17.049999999999997,-0.007000000000000006
"Perkins, Blake",663368,2025,171,155,35,3,7,15,47,0.226,0.298,0.348,0.646,0.122,0.254,0.21,0.311,0.261,0.27,88.2,6.2,4.1,25,19,2025,Perkins,Blake,Blake Perkins,blakeperkins,0.009000000000000008,17.020000000000003,0.045999999999999985
"Collins, Isaac",686555,2025,441,372,98,9,16,57,93,0.263,0.368,0.411,0.779,0.148,0.314,0.241,0.342,0.325,0.316,88.7,12.2,5.3,56,54,2025,Collins,Isaac,Isaac Collins,isaaccollins,-0.009000000000000008,16.900000000000006,-0.014000000000000012
"Martínez, Angel",682657,2025,484,446,100,11,8,23,110,0.224,0.269,0.359,0.628,0.135,0.268,0.234,0.362,0.292,0.28,87.5,18.4,5.7,56,45,2025,Martínez,Angel,Angel Martínez,angelmartinez,-0.011999999999999955,16.640000000000004,0.03199999999999997
"Rojas, Miguel",500743,2025,317,290,76,7,5,24,46,0.262,0.318,0.397,0.715,0.135,0.286,0.267,0.38,0.31,0.31,87.5,12.9,5.3,35,27,2025,Rojas,Miguel,Miguel Rojas,miguelrojas,0.0,16.5,0.014000000000000012
"Fermin, Freddy",666023,2025,347,319,80,5,1,19,65,0.251,0.297,0.339,0.636,0.088,0.23,0.211,0.308,0.258,0.269,87.75,14.2,3.6,32,26,2025,Fermin,Freddy,Freddy Fermin,freddyfermin,0.01100000000000001,16.46,0.06999999999999998
"Bolte, Henry",703607,2026,157,134,40,2,10,14,45,0.299,0.385,0.388,0.773,0.089,0.427,0.231,0.347,0.349,0.309,91.2,-0.8,6.7,14,12,2026,Bolte,Henry,Henry Bolte,henrybolte,-0.03999999999999998,16.430000000000007,-0.127
"Smith, Dominic",642086,2025,225,204,58,5,2,15,42,0.284,0.333,0.417,0.75,0.133,0.309,0.263,0.413,0.323,0.318,87.8,15.1,5.6,26,33,2025,Smith,Dominic,Dominic Smith,dominicsmith,-0.0050000000000000044,16.30999999999999,-0.009000000000000008
"Vilade, Ryan",668723,2026,139,123,34,5,3,12,28,0.276,0.333,0.463,0.796,0.187,0.312,0.247,0.404,0.344,0.31,89.6,18.8,5.1,12,27,2026,Vilade,Ryan,Ryan Vilade,ryanvilade,-0.033999999999999975,16.279999999999987,-0.01200000000000001
"Meyers, Jake",676694,2025,381,343,100,3,16,31,67,0.292,0.354,0.373,0.727,0.081,0.296,0.236,0.361,0.292,0.292,87.1,9.8,5.9,53,24,2025,Meyers,Jake,Jake Meyers,jakemeyers,0.0,16.03999999999999,0.0040000000000000036
"Taylor, Tyrone",621438,2025,341,310,69,2,12,16,76,0.223,0.279,0.319,0.598,0.096,0.254,0.236,0.357,0.254,0.276,86.3,19.4,4.9,34,27,2025,Taylor,Tyrone,Tyrone Taylor,tyronetaylor,0.02200000000000002,15.979999999999997,0.045999999999999985
"Acuña, Luisangel",682668,2025,193,175,41,0,16,13,37,0.234,0.293,0.274,0.567,0.04,0.279,0.24,0.311,0.247,0.272,88.6,3.4,2.9,30,8,2025,Acuña,Luisangel,Luisangel Acuña,luisangelacuna,0.025000000000000022,15.48999999999999,0.020999999999999963
"Monasterio, Andruw",655316,2025,135,126,34,4,2,7,32,0.27,0.319,0.437,0.756,0.167,0.307,0.228,0.359,0.306,0.279,87.7,20.8,6.45,19,16,2025,Monasterio,Andruw,Andruw Monasterio,andruwmonasterio,-0.02699999999999997,15.370000000000008,-0.007000000000000006
"Karros, Kyle",691720,2025,156,137,31,1,0,15,41,0.226,0.308,0.277,0.585,0.051,0.31,0.231,0.328,0.297,0.295,88.65,12.3,4.3,20,9,2025,Karros,Kyle,Kyle Karros,kylekarros,-0.0020000000000000018,15.14000000000001,-0.010000000000000009
"Vargas, Ildemaro",545121,2025,121,115,31,3,0,2,15,0.27,0.292,0.383,0.675,0.113,0.273,0.27,0.382,0.298,0.298,87.95,3.3,3.95,12,19,2025,Vargas,Ildemaro,Ildemaro Vargas,ildemarovargas,0.0,15.110000000000003,0.02699999999999997
"Díaz, Elias",553869,2025,283,255,52,9,0,21,74,0.204,0.27,0.337,0.607,0.133,0.292,0.222,0.342,0.299,0.264,87.1,17.7,7.0,34,29,2025,Díaz,Elias,Elias Díaz,eliasdiaz,-0.034999999999999976,15.079999999999991,0.008000000000000007
"Fulford, Braxton",690924,2025,120,108,23,1,1,7,36,0.213,0.267,0.324,0.591,0.111,0.315,0.176,0.286,0.278,0.249,87.85,19.8,6.65,11,16,2025,Fulford,Braxton,Braxton Fulford,braxtonfulford,-0.029000000000000026,14.909999999999988,-0.015000000000000013
"Taveras, Leody",665750,2025,180,171,35,3,9,5,50,0.205,0.226,0.304,0.53,0.099,0.301,0.212,0.32,0.268,0.259,87.9,21.2,5.25,13,17,2025,Taveras,Leody,Leody Taveras,leodytaveras,-0.009000000000000008,14.710000000000012,-0.0010000000000000009
"Song, Sung-Mun",823550,2026,65,56,12,0,6,9,13,0.214,0.323,0.25,0.573,0.036,0.279,0.19,0.293,0.273,0.276,84.9,14.6,7.0,8,8,2026,Song,Sung-Mun,Sung-Mun Song,sungmunsong,0.0030000000000000027,14.61000000000001,0.020999999999999963
"Loperfido, Joey",694388,2025,104,96,32,4,1,4,27,0.333,0.379,0.5,0.879,0.167,0.362,0.249,0.375,0.34,0.31,88.35,11.7,6.4,12,14,2025,Loperfido,Joey,Joey Loperfido,joeyloperfido,-0.030000000000000027,14.199999999999987,-0.062
"Shaw, Matt",807713,2025,437,393,89,13,17,38,94,0.226,0.295,0.394,0.689,0.168,0.271,0.239,0.367,0.312,0.302,85.85,13.4,5.9,57,44,2025,Shaw,Matt,Matt Shaw,mattshaw,-0.010000000000000009,14.189999999999987,0.02899999999999997
