"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,data_year,last_name,first_name,Name,Name_norm,diff_xwoba,breakout_score,diff_babip
"Realmuto, J.T.",592663,2025,550,502,129,12,8,35,129,0.257,0.315,0.384,0.699,0.127,0.276,0.251,0.397,0.292,0.316,89.55,11.1,6.85,57,52,2025,Realmuto,J.T.,J.T. Realmuto,jtrealmuto,0.02400000000000002,26.239999999999995,0.023999999999999966
"Matthews, Brice",694728,2026,200,184,37,6,2,13,66,0.201,0.253,0.337,0.59,0.136,0.274,0.198,0.358,0.261,0.269,88.2,11.7,9.2,18,18,2026,Matthews,Brice,Brice Matthews,bricematthews,0.008000000000000007,26.120000000000005,0.025999999999999968
"Feduccia, Hunter",676439,2025,105,88,13,0,1,15,29,0.148,0.267,0.205,0.472,0.057,0.285,0.202,0.309,0.258,0.286,89.15,16.3,7.55,5,8,2025,Feduccia,Hunter,Hunter Feduccia,hunterfeduccia,0.02799999999999997,26.11000000000001,0.015000000000000013
"Higashioka, Kyle",543309,2025,327,303,73,11,3,20,72,0.241,0.291,0.403,0.694,0.162,0.28,0.23,0.376,0.298,0.294,88.45,17.2,9.3,33,47,2025,Higashioka,Kyle,Kyle Higashioka,kylehigashioka,-0.0040000000000000036,26.060000000000006,0.019999999999999962
"Tena, José",677588,2025,169,152,37,0,3,15,37,0.243,0.314,0.355,0.669,0.112,0.32,0.242,0.37,0.292,0.3,90.65,1.2,7.5,19,16,2025,Tena,José,José Tena,josetena,0.008000000000000007,25.940000000000012,-0.020000000000000018
"Tovar, Ezequiel",678662,2025,390,360,91,9,5,21,98,0.253,0.294,0.4,0.694,0.147,0.297,0.241,0.407,0.279,0.299,88.7,16.4,8.4,44,33,2025,Tovar,Ezequiel,Ezequiel Tovar,ezequieltovar,0.019999999999999962,25.93,0.0030000000000000027
"Romo, Drew",691011,2026,106,93,13,5,1,10,27,0.14,0.229,0.344,0.573,0.204,0.129,0.187,0.323,0.253,0.266,84.7,12.4,8.8,9,11,2026,Romo,Drew,Drew Romo,drewromo,0.013000000000000012,25.91000000000001,0.17099999999999999
"McCann, James",543510,2025,137,123,32,5,0,8,33,0.26,0.324,0.431,0.755,0.171,0.3,0.21,0.345,0.268,0.26,91.45,8.3,7.2,18,17,2025,McCann,James,James McCann,jamesmccann,-0.008000000000000007,25.860000000000007,0.0
"Ward, Ryan",669899,2026,59,54,11,3,0,5,17,0.204,0.271,0.444,0.715,0.24,0.235,0.231,0.406,0.31,0.308,88.0,19.3,8.3,8,11,2026,Ward,Ryan,Ryan Ward,ryanward,-0.0020000000000000018,25.85,0.065
"Outman, James",681546,2025,148,134,18,6,1,12,63,0.134,0.216,0.321,0.537,0.187,0.242,0.154,0.302,0.236,0.238,87.35,18.0,9.65,19,11,2025,Outman,James,James Outman,jamesoutman,0.0020000000000000018,25.819999999999986,0.057999999999999996
"Mead, Curtis",678554,2025,264,240,56,3,5,15,63,0.233,0.299,0.321,0.62,0.088,0.262,0.244,0.408,0.313,0.325,88.1,17.1,8.0,26,19,2025,Mead,Curtis,Curtis Mead,curtismead,0.01200000000000001,25.559999999999988,0.03799999999999998
"Escarra, J.C.",641555,2025,98,84,17,2,1,11,14,0.202,0.296,0.333,0.629,0.131,0.224,0.22,0.328,0.254,0.279,89.95,11.5,5.05,5,11,2025,Escarra,J.C.,J.C. Escarra,jcescarra,0.025000000000000022,25.38000000000001,0.07599999999999998
"Bader, Harrison",664056,2025,501,448,124,17,11,39,136,0.277,0.347,0.449,0.796,0.172,0.275,0.218,0.37,0.292,0.284,88.2,12.7,9.2,61,54,2025,Bader,Harrison,Harrison Bader,harrisonbader,-0.008000000000000007,25.09,0.024999999999999967
"Cortes, Carlos",666126,2025,99,94,29,4,0,3,20,0.309,0.323,0.543,0.866,0.234,0.318,0.275,0.442,0.358,0.335,89.75,16.3,8.75,11,14,2025,Cortes,Carlos,Carlos Cortes,carloscortes,-0.022999999999999965,24.96,-0.018000000000000016
"Semien, Marcus",543760,2025,534,470,108,15,11,50,93,0.23,0.305,0.364,0.669,0.134,0.248,0.249,0.404,0.284,0.317,87.25,19.4,7.4,62,62,2025,Semien,Marcus,Marcus Semien,marcussemien,0.03300000000000003,24.880000000000003,0.05199999999999999
"Diaz, Yainer",673237,2025,567,542,139,20,1,20,95,0.256,0.284,0.417,0.701,0.161,0.272,0.262,0.414,0.29,0.306,88.8,10.2,7.2,56,70,2025,Diaz,Yainer,Yainer Diaz,yainerdiaz,0.016000000000000014,24.799999999999994,0.02799999999999997
"Lowe, Josh",666139,2025,435,396,87,11,18,33,109,0.22,0.283,0.366,0.649,0.146,0.25,0.222,0.362,0.262,0.279,88.8,9.3,6.85,56,40,2025,Lowe,Josh,Josh Lowe,joshlowe,0.017000000000000015,24.739999999999995,0.04999999999999999
"Halpin, Petey",690984,2026,51,48,9,0,2,1,15,0.188,0.204,0.25,0.454,0.062,0.273,0.211,0.333,0.2,0.243,86.9,23.0,8.6,5,1,2026,Halpin,Petey,Petey Halpin,peteyhalpin,0.04299999999999998,24.650000000000006,0.02699999999999997
"Yastrzemski, Mike",573262,2025,558,477,111,17,7,72,108,0.233,0.333,0.403,0.736,0.17,0.279,0.231,0.37,0.31,0.308,90.7,20.4,6.05,68,46,2025,Yastrzemski,Mike,Mike Yastrzemski,mikeyastrzemski,-0.0020000000000000018,24.55,0.020999999999999963
"Doyle, Brenton",686668,2025,538,502,117,15,18,30,138,0.233,0.274,0.376,0.65,0.143,0.302,0.217,0.345,0.267,0.274,88.85,9.8,8.4,57,57,2025,Doyle,Brenton,Brenton Doyle,brentondoyle,0.007000000000000006,24.439999999999987,-0.0020000000000000018
"Moore, Christian",695681,2025,184,162,32,7,3,19,62,0.198,0.284,0.37,0.654,0.172,0.294,0.202,0.326,0.27,0.267,89.95,14.6,7.551,20,16,2025,Moore,Christian,Christian Moore,christianmoore,-0.0030000000000000027,24.402000000000008,0.006000000000000005
"Fairchild, Stuart",656413,2025,55,51,11,0,2,4,15,0.216,0.273,0.333,0.606,0.117,0.385,0.166,0.299,0.277,0.269,89.747,24.4,10.147,7,2,2025,Fairchild,Stuart,Stuart Fairchild,stuartfairchild,-0.008000000000000007,24.278,-0.08500000000000002
"Haase, Eric",606992,2025,77,70,16,2,0,4,31,0.229,0.289,0.357,0.646,0.128,0.304,0.206,0.381,0.298,0.282,84.4,5.4,13.55,11,9,2025,Haase,Eric,Eric Haase,erichaase,-0.016000000000000014,24.060000000000013,-0.0040000000000000036
"Bailey, Patrick",672275,2025,452,409,91,6,1,30,133,0.222,0.277,0.325,0.602,0.103,0.271,0.22,0.353,0.246,0.276,89.1,15.6,6.05,47,55,2025,Bailey,Patrick,Patrick Bailey,patrickbailey,0.030000000000000027,23.669999999999987,0.02899999999999997
"Kirk, Alejandro",672386,2025,506,451,127,15,1,48,59,0.282,0.348,0.421,0.769,0.139,0.248,0.246,0.378,0.29,0.303,88.55,11.9,6.3,45,76,2025,Kirk,Alejandro,Alejandro Kirk,alejandrokirk,0.013000000000000012,23.399999999999995,0.05199999999999999
"Cronenworth, Jake",630105,2025,515,419,103,11,3,69,107,0.246,0.367,0.377,0.744,0.131,0.238,0.222,0.339,0.282,0.312,87.95,14.9,5.85,61,59,2025,Cronenworth,Jake,Jake Cronenworth,jakecronenworth,0.030000000000000027,23.34000000000001,0.062
"Kreidler, Ryan",668952,2026,100,89,25,4,0,10,17,0.281,0.36,0.494,0.854,0.213,0.309,0.245,0.442,0.372,0.337,88.2,14.0,9.7,16,18,2026,Kreidler,Ryan,Ryan Kreidler,ryankreidler,-0.034999999999999976,23.290000000000006,-0.009000000000000008
"Kelly, Carson",608348,2025,421,369,92,17,2,45,80,0.249,0.333,0.428,0.761,0.179,0.3,0.244,0.404,0.338,0.324,88.8,16.4,8.15,48,50,2025,Kelly,Carson,Carson Kelly,carsonkelly,-0.014000000000000012,23.259999999999994,0.0
"Wilson, Weston",642215,2025,125,111,22,5,2,12,34,0.198,0.282,0.369,0.651,0.171,0.25,0.23,0.374,0.289,0.31,87.8,14.4,6.6,15,17,2025,Wilson,Weston,Weston Wilson,westonwilson,0.02100000000000002,23.179999999999993,0.04999999999999999
"Bogaerts, Xander",593428,2025,552,491,129,11,20,48,94,0.263,0.328,0.391,0.719,0.128,0.279,0.255,0.395,0.306,0.323,88.55,11.1,6.6,63,53,2025,Bogaerts,Xander,Xander Bogaerts,xanderbogaerts,0.017000000000000015,23.169999999999995,0.020999999999999963
"White, Eli",642201,2025,271,256,60,10,10,11,70,0.234,0.27,0.406,0.676,0.172,0.264,0.246,0.393,0.282,0.297,87.4,11.3,7.7,43,35,2025,White,Eli,Eli White,eliwhite,0.015000000000000013,23.140000000000015,0.035999999999999976
"Shewmake, Braden",669699,2026,79,74,18,3,0,2,13,0.243,0.26,0.405,0.665,0.162,0.254,0.236,0.388,0.286,0.281,89.5,13.7,6.3,8,8,2026,Shewmake,Braden,Braden Shewmake,bradenshewmake,-0.004999999999999949,23.120000000000005,0.045999999999999985
"Bohm, Alec",664761,2025,504,464,133,11,2,29,82,0.287,0.331,0.409,0.74,0.122,0.279,0.259,0.386,0.302,0.308,90.25,6.8,5.4,53,59,2025,Bohm,Alec,Alec Bohm,alecbohm,0.006000000000000005,22.99,0.020999999999999963
"Smith, Pavin",656976,2025,288,244,63,8,2,41,92,0.258,0.362,0.434,0.796,0.176,0.286,0.192,0.313,0.3,0.292,87.95,12.4,8.55,36,28,2025,Smith,Pavin,Pavin Smith,pavinsmith,-0.008000000000000007,22.900000000000006,0.014000000000000012
"Torres, Gleyber",650402,2025,628,532,136,16,4,85,101,0.256,0.358,0.387,0.745,0.131,0.306,0.262,0.426,0.344,0.353,87.65,14.3,8.05,79,74,2025,Torres,Gleyber,Gleyber Torres,gleybertorres,0.009000000000000008,22.880000000000013,-0.006000000000000005
"Freeland, Alex",690976,2025,97,84,16,2,1,11,35,0.19,0.292,0.31,0.602,0.12,0.314,0.198,0.324,0.286,0.278,90.15,20.7,7.05,10,6,2025,Freeland,Alex,Alex Freeland,alexfreeland,-0.007999999999999952,22.620000000000015,-0.014000000000000012
"Kim, Ha-Seong",673490,2025,191,171,40,5,6,16,39,0.234,0.304,0.345,0.649,0.111,0.188,0.198,0.285,0.209,0.255,87.3,15.7,4.8,19,17,2025,Kim,Ha-Seong,Ha-Seong Kim,haseongkim,0.04600000000000001,22.579999999999995,0.11199999999999999
"Wade Jr., LaMonte",664774,2025,242,209,35,2,1,27,58,0.167,0.271,0.254,0.525,0.087,0.24,0.206,0.335,0.271,0.283,89.037,21.9,5.358,19,18,2025,Wade Jr.,LaMonte,LaMonte Wade Jr.,lamontewadejr,0.011999999999999955,22.41000000000001,0.06
"Eaton, Nate",681987,2025,90,81,24,1,9,6,19,0.296,0.348,0.383,0.731,0.087,0.347,0.246,0.404,0.34,0.317,90.0,8.8,8.12,16,4,2025,Eaton,Nate,Nate Eaton,nateeaton,-0.02300000000000002,22.39,-0.046999999999999986
"Volpe, Anthony",683011,2025,596,539,114,19,18,43,150,0.212,0.272,0.391,0.663,0.179,0.3,0.237,0.377,0.31,0.31,88.8,12.4,7.25,65,72,2025,Volpe,Anthony,Anthony Volpe,anthonyvolpe,0.0,22.299999999999994,0.0
"Marte, Noelvi",682622,2025,360,339,89,14,10,16,85,0.263,0.3,0.448,0.748,0.185,0.275,0.231,0.385,0.299,0.292,88.6,12.7,7.25,45,51,2025,Marte,Noelvi,Noelvi Marte,noelvimarte,-0.007000000000000006,22.229999999999986,0.024999999999999967
"Teel, Kyle",691019,2025,297,253,69,8,3,37,77,0.273,0.375,0.411,0.786,0.138,0.351,0.244,0.41,0.341,0.341,88.165,14.4,8.736,38,35,2025,Teel,Kyle,Kyle Teel,kyleteel,0.0,22.072000000000017,-0.05099999999999999
"Tawa, Tim",694374,2025,225,199,40,7,8,20,64,0.201,0.274,0.347,0.621,0.146,0.234,0.204,0.316,0.26,0.275,88.2,6.8,5.7,29,18,2025,Tawa,Tim,Tim Tawa,timtawa,0.015000000000000013,21.800000000000008,0.06599999999999998
"Lee, Hao-Yu ",701678,2026,118,112,28,2,1,5,32,0.25,0.282,0.366,0.648,0.116,0.333,0.231,0.385,0.285,0.282,88.4,18.1,8.6,8,10,2026,Lee,Hao-Yu ,Hao-Yu  Lee,haoyulee,-0.0030000000000000027,21.750000000000007,-0.03300000000000003
"Norby, Connor",681393,2025,337,311,78,8,8,18,90,0.251,0.3,0.389,0.689,0.138,0.308,0.212,0.37,0.296,0.294,87.65,15.9,8.5,42,34,2025,Norby,Connor,Connor Norby,connornorby,-0.0020000000000000018,21.62000000000001,-0.008000000000000007
"Rojas, Josh",668942,2025,211,189,34,2,4,19,48,0.18,0.252,0.259,0.511,0.079,0.234,0.209,0.322,0.258,0.267,89.831,13.4,4.256,14,11,2025,Rojas,Josh,Josh Rojas,joshrojas,0.009000000000000008,21.534000000000006,0.06599999999999998
"Del Castillo, Adrian",680728,2025,131,120,29,4,0,8,47,0.242,0.29,0.392,0.682,0.15,0.298,0.204,0.341,0.273,0.266,89.6,19.0,6.6,9,17,2025,Del Castillo,Adrian,Adrian Del Castillo,adriandelcastillo,-0.007000000000000006,21.259999999999987,0.0020000000000000018
"Jackson, Jeremiah",669236,2025,183,170,47,5,0,11,50,0.276,0.328,0.447,0.775,0.171,0.322,0.237,0.392,0.312,0.289,89.95,10.9,7.25,20,21,2025,Jackson,Jeremiah,Jeremiah Jackson,jeremiahjackson,-0.02300000000000002,21.240000000000002,-0.02200000000000002
"Jansen, Danny",643376,2025,337,288,62,14,0,42,86,0.215,0.321,0.399,0.72,0.184,0.239,0.183,0.314,0.294,0.276,87.65,24.0,7.4,38,36,2025,Jansen,Danny,Danny Jansen,dannyjansen,-0.01799999999999996,21.230000000000015,0.061
"Peraza, Oswald",672724,2025,265,244,40,5,9,17,80,0.164,0.223,0.25,0.473,0.086,0.277,0.22,0.347,0.264,0.272,87.2,8.0,7.65,24,20,2025,Peraza,Oswald,Oswald Peraza,oswaldperaza,0.008000000000000007,20.930000000000007,0.022999999999999965
"Bart, Joey",663698,2025,332,285,71,4,1,40,93,0.249,0.355,0.34,0.695,0.091,0.33,0.22,0.383,0.304,0.295,87.2,9.0,9.3,21,30,2025,Bart,Joey,Joey Bart,joeybart,-0.009000000000000008,20.680000000000003,-0.030000000000000027
"Beavers, Dylan",687637,2025,137,110,25,4,2,26,36,0.227,0.375,0.4,0.775,0.173,0.306,0.224,0.386,0.33,0.326,88.1,21.2,7.25,16,14,2025,Beavers,Dylan,Dylan Beavers,dylanbeavers,-0.0040000000000000036,20.599999999999987,-0.006000000000000005
"Sosa, Edmundo",624641,2025,261,243,67,11,1,10,56,0.276,0.307,0.469,0.776,0.193,0.289,0.262,0.43,0.312,0.314,87.55,9.4,7.15,30,39,2025,Sosa,Edmundo,Edmundo Sosa,edmundososa,0.0020000000000000018,20.389999999999993,0.01100000000000001
"Mayer, Marcelo",691785,2025,136,127,29,4,0,8,41,0.228,0.272,0.402,0.674,0.174,0.282,0.207,0.324,0.281,0.262,88.1,6.7,7.7,20,10,2025,Mayer,Marcelo,Marcelo Mayer,marcelomayer,-0.019000000000000017,20.219999999999988,0.018000000000000016
"Ewing, A.J.",805999,2026,154,134,35,3,7,17,41,0.261,0.342,0.396,0.738,0.135,0.352,0.277,0.421,0.328,0.344,89.0,14.2,6.3,14,13,2026,Ewing,A.J.,A.J. Ewing,ajewing,0.01599999999999996,20.159999999999997,-0.05199999999999999
"Carter, Evan",694497,2025,220,194,48,5,14,19,41,0.247,0.336,0.392,0.728,0.145,0.25,0.22,0.348,0.301,0.301,87.35,13.7,6.45,31,25,2025,Carter,Evan,Evan Carter,evancarter,0.0,20.11999999999999,0.04999999999999999
"Larnach, Trevor",663616,2025,567,503,126,17,4,53,122,0.25,0.323,0.404,0.727,0.154,0.313,0.252,0.394,0.335,0.325,88.45,10.9,7.05,62,60,2025,Larnach,Trevor,Trevor Larnach,trevorlarnach,-0.010000000000000009,20.050000000000004,-0.013000000000000012
"Young, Cole",702284,2025,257,223,47,4,1,28,47,0.211,0.302,0.305,0.607,0.094,0.269,0.25,0.384,0.292,0.314,87.9,17.2,5.3,24,24,2025,Young,Cole,Cole Young,coleyoung,0.02200000000000002,19.99000000000001,0.030999999999999972
"Gurriel Jr., Lourdes",666971,2025,546,500,124,19,10,31,76,0.248,0.295,0.418,0.713,0.17,0.26,0.244,0.368,0.282,0.297,87.15,16.3,6.15,52,80,2025,Gurriel Jr.,Lourdes,Lourdes Gurriel Jr.,lourdesgurrieljr,0.015000000000000013,19.740000000000013,0.03999999999999998
"Massey, Michael",686681,2025,277,262,64,3,2,9,43,0.244,0.268,0.313,0.581,0.069,0.28,0.236,0.383,0.286,0.279,88.95,22.2,5.8,20,20,2025,Massey,Michael,Michael Massey,michaelmassey,-0.006999999999999951,19.520000000000007,0.019999999999999962
"Heim, Jonah",641680,2025,433,395,84,11,3,32,88,0.213,0.271,0.332,0.603,0.119,0.242,0.226,0.36,0.302,0.284,87.6,14.5,6.4,38,43,2025,Heim,Jonah,Jonah Heim,jonahheim,-0.018000000000000016,19.13999999999999,0.057999999999999996
"Dunn, Blake",694362,2025,75,60,9,1,1,8,25,0.15,0.32,0.233,0.553,0.083,0.292,0.215,0.303,0.297,0.292,88.85,-0.3,5.75,10,7,2025,Dunn,Blake,Blake Dunn,blakedunn,-0.0050000000000000044,19.03999999999999,0.008000000000000007
"Yoshida, Masataka",807799,2025,205,188,50,4,3,10,24,0.266,0.307,0.388,0.695,0.122,0.276,0.259,0.362,0.299,0.309,89.3,5.7,4.05,16,26,2025,Yoshida,Masataka,Masataka Yoshida,masatakayoshida,0.010000000000000009,18.879999999999995,0.023999999999999966
"Pagés, Pedro",686780,2025,389,361,83,11,0,19,107,0.23,0.272,0.363,0.635,0.133,0.277,0.217,0.354,0.273,0.27,87.5,12.4,6.75,38,45,2025,Pagés,Pedro,Pedro Pagés,pedropages,-0.0030000000000000027,18.81,0.022999999999999965
"Lile, Daylen",695734,2025,351,321,96,9,8,21,56,0.299,0.347,0.498,0.845,0.199,0.306,0.279,0.429,0.334,0.333,88.15,15.0,6.1,51,41,2025,Lile,Daylen,Daylen Lile,daylenlile,-0.0010000000000000009,18.780000000000012,-0.006000000000000005
"Young, Jacob",696285,2025,364,324,75,2,15,27,65,0.231,0.296,0.287,0.583,0.056,0.267,0.259,0.362,0.275,0.3,88.4,3.8,4.1,34,31,2025,Young,Jacob,Jacob Young,jacobyoung,0.024999999999999967,18.650000000000006,0.032999999999999974
"Mateo, Jorge",622761,2025,83,79,14,1,15,4,30,0.177,0.217,0.266,0.483,0.089,0.307,0.22,0.357,0.265,0.269,87.85,9.8,6.8,9,3,2025,Mateo,Jorge,Jorge Mateo,jorgemateo,0.0040000000000000036,18.64999999999999,-0.007000000000000006
"Donovan, Brendan",680977,2025,515,460,132,10,3,42,67,0.287,0.353,0.422,0.775,0.135,0.307,0.272,0.416,0.355,0.346,87.8,12.2,6.6,64,50,2025,Donovan,Brendan,Brendan Donovan,brendandonovan,-0.009000000000000008,18.64999999999999,-0.007000000000000006
"Díaz, Elias",553869,2025,283,255,52,9,0,21,74,0.204,0.27,0.337,0.607,0.133,0.279,0.227,0.35,0.298,0.27,87.65,17.7,7.45,34,29,2025,Díaz,Elias,Elias Díaz,eliasdiaz,-0.02799999999999997,18.410000000000014,0.020999999999999963
"Schuemann, Max",680474,2025,213,183,36,2,7,22,35,0.197,0.295,0.273,0.568,0.076,0.254,0.205,0.307,0.293,0.304,87.136,12.4,5.429,20,13,2025,Schuemann,Max,Max Schuemann,maxschuemann,0.01100000000000001,18.389999999999993,0.045999999999999985
"Johnston, Troy",687859,2025,121,112,31,4,2,8,26,0.277,0.331,0.42,0.751,0.143,0.353,0.28,0.428,0.345,0.336,89.45,14.6,6.0,12,13,2025,Johnston,Troy,Troy Johnston,troyjohnston,-0.008999999999999952,18.25000000000001,-0.05299999999999999
"Thomas, Lane",657041,2025,142,125,20,4,4,14,44,0.16,0.246,0.272,0.518,0.112,0.234,0.205,0.314,0.275,0.282,87.65,23.5,4.7,10,11,2025,Thomas,Lane,Lane Thomas,lanethomas,0.006999999999999951,18.200000000000006,0.06599999999999998
"Mullins, Cedric",656775,2025,498,435,94,17,22,50,120,0.216,0.299,0.391,0.69,0.175,0.241,0.196,0.32,0.286,0.272,88.4,23.3,4.8,58,59,2025,Mullins,Cedric,Cedric Mullins,cedricmullins,-0.013999999999999957,17.670000000000016,0.059
"Trammell, Taylor",666211,2025,135,117,23,3,3,17,41,0.197,0.296,0.333,0.629,0.136,0.359,0.193,0.31,0.304,0.265,90.25,15.5,6.95,15,12,2025,Trammell,Taylor,Taylor Trammell,taylortrammell,-0.03899999999999998,17.630000000000003,-0.059
"Bolte, Henry",703607,2026,138,117,36,2,8,13,39,0.308,0.399,0.41,0.809,0.102,0.436,0.234,0.354,0.363,0.316,92.6,0.3,6.3,11,10,2026,Bolte,Henry,Henry Bolte,henrybolte,-0.046999999999999986,17.559999999999988,-0.136
"Osuna, Alejandro",696030,2025,176,151,32,2,5,21,34,0.212,0.313,0.278,0.591,0.066,0.286,0.27,0.356,0.291,0.33,88.5,12.0,3.0,12,15,2025,Osuna,Alejandro,Alejandro Osuna,alejandroosuna,0.039000000000000035,17.420000000000005,0.014000000000000012
"Campusano, Luis",669134,2026,58,52,15,3,0,5,15,0.288,0.362,0.596,0.958,0.308,0.353,0.251,0.449,0.408,0.34,86.5,11.9,10.8,9,10,2026,Campusano,Luis,Luis Campusano,luiscampusano,-0.06799999999999995,17.310000000000006,-0.05299999999999999
"Collins, Isaac",686555,2025,441,372,98,9,16,57,93,0.263,0.368,0.411,0.779,0.148,0.314,0.24,0.342,0.323,0.316,88.6,12.2,5.5,56,54,2025,Collins,Isaac,Isaac Collins,isaaccollins,-0.007000000000000006,17.259999999999987,-0.014000000000000012
"Lee, Brooks",686797,2025,527,487,115,16,3,31,92,0.236,0.285,0.37,0.655,0.134,0.252,0.231,0.357,0.302,0.284,88.1,13.2,5.2,50,64,2025,Lee,Brooks,Brooks Lee,brookslee,-0.018000000000000016,17.239999999999984,0.04799999999999999
"Marsee, Jakob",805300,2025,234,209,61,5,14,22,48,0.292,0.363,0.478,0.841,0.186,0.308,0.248,0.376,0.326,0.325,87.75,10.9,5.8,28,33,2025,Marsee,Jakob,Jakob Marsee,jakobmarsee,-0.0010000000000000009,17.12,-0.008000000000000007
"Seigler, Anthony",678011,2025,73,62,12,0,2,8,16,0.194,0.292,0.21,0.502,0.016,0.293,0.249,0.35,0.261,0.309,89.718,10.6,1.638,6,5,2025,Seigler,Anthony,Anthony Seigler,anthonyseigler,0.04799999999999999,17.082000000000008,0.007000000000000006
"Perkins, Blake",663368,2025,171,155,35,3,7,15,47,0.226,0.298,0.348,0.646,0.122,0.25,0.208,0.305,0.258,0.268,88.0,6.2,4.2,25,19,2025,Perkins,Blake,Blake Perkins,blakeperkins,0.010000000000000009,17.060000000000002,0.04999999999999999
"Taylor, Tyrone",621438,2025,341,310,69,2,12,16,76,0.223,0.279,0.319,0.598,0.096,0.243,0.232,0.353,0.248,0.273,86.35,19.4,4.95,34,27,2025,Taylor,Tyrone,Tyrone Taylor,tyronetaylor,0.025000000000000022,16.90999999999999,0.056999999999999995
"Church, Nathan",701675,2025,65,56,10,1,1,3,18,0.179,0.254,0.25,0.504,0.071,0.278,0.22,0.334,0.274,0.272,87.45,5.4,5.75,9,8,2025,Church,Nathan,Nathan Church,nathanchurch,-0.0020000000000000018,16.780000000000005,0.021999999999999964
"Martínez, Angel",682657,2025,484,446,100,11,8,23,110,0.224,0.269,0.359,0.628,0.135,0.268,0.234,0.362,0.292,0.28,87.5,18.4,5.7,56,45,2025,Martínez,Angel,Angel Martínez,angelmartinez,-0.011999999999999955,16.640000000000004,0.03199999999999997
"Rojas, Miguel",500743,2025,317,290,76,7,5,24,46,0.262,0.318,0.397,0.715,0.135,0.289,0.267,0.382,0.312,0.31,87.6,12.9,5.4,35,27,2025,Rojas,Miguel,Miguel Rojas,miguelrojas,-0.0020000000000000018,16.58999999999999,0.01100000000000001
"Fry, David",681807,2025,157,146,25,8,1,9,58,0.171,0.229,0.363,0.592,0.192,0.25,0.16,0.262,0.284,0.234,87.25,23.0,7.4,16,23,2025,Fry,David,David Fry,davidfry,-0.04999999999999996,16.480000000000004,0.04999999999999999
"Fermin, Freddy",666023,2025,347,319,80,5,1,19,65,0.251,0.297,0.339,0.636,0.088,0.231,0.214,0.311,0.256,0.268,87.75,14.2,3.6,32,26,2025,Fermin,Freddy,Freddy Fermin,freddyfermin,0.01200000000000001,16.470000000000002,0.06899999999999998
"Smith, Dominic",642086,2025,225,204,58,5,2,15,42,0.284,0.333,0.417,0.75,0.133,0.308,0.264,0.416,0.323,0.318,87.7,15.1,5.75,26,33,2025,Smith,Dominic,Dominic Smith,dominicsmith,-0.0050000000000000044,16.460000000000004,-0.008000000000000007
"Vilade, Ryan",668723,2026,139,123,34,5,3,12,28,0.276,0.333,0.463,0.796,0.187,0.312,0.247,0.404,0.344,0.31,89.6,18.8,5.1,12,26,2026,Vilade,Ryan,Ryan Vilade,ryanvilade,-0.033999999999999975,16.279999999999987,-0.01200000000000001
"Gonzalez, Jacob",694378,2026,60,53,10,1,0,5,16,0.189,0.283,0.245,0.528,0.056,0.25,0.202,0.314,0.251,0.279,88.1,16.7,2.8,5,5,2026,Gonzalez,Jacob,Jacob Gonzalez,jacobgonzalez,0.028000000000000025,16.11999999999999,0.04999999999999999
"Acuña, Luisangel",682668,2025,193,175,41,0,16,13,37,0.234,0.293,0.274,0.567,0.04,0.272,0.238,0.309,0.242,0.27,88.55,3.4,2.95,30,8,2025,Acuña,Luisangel,Luisangel Acuña,luisangelacuna,0.028000000000000025,16.039999999999996,0.02799999999999997
"Meyers, Jake",676694,2025,381,343,100,3,16,31,67,0.292,0.354,0.373,0.727,0.081,0.296,0.232,0.358,0.292,0.288,86.95,9.8,6.2,53,24,2025,Meyers,Jake,Jake Meyers,jakemeyers,-0.0040000000000000036,15.940000000000005,0.0040000000000000036
"Beck, Jordan",687597,2025,588,539,139,16,19,43,174,0.258,0.317,0.416,0.733,0.158,0.292,0.228,0.357,0.276,0.28,86.35,12.8,6.45,62,53,2025,Beck,Jordan,Jordan Beck,jordanbeck,0.0040000000000000036,15.919999999999991,0.008000000000000007
"Monasterio, Andruw",655316,2025,135,126,34,4,2,7,32,0.27,0.319,0.437,0.756,0.167,0.307,0.228,0.359,0.306,0.279,87.7,20.8,6.45,19,16,2025,Monasterio,Andruw,Andruw Monasterio,andruwmonasterio,-0.02699999999999997,15.370000000000008,-0.007000000000000006
"Vargas, Ildemaro",545121,2025,121,115,31,3,0,2,15,0.27,0.292,0.383,0.675,0.113,0.275,0.272,0.384,0.301,0.301,88.0,3.3,3.95,12,19,2025,Vargas,Ildemaro,Ildemaro Vargas,ildemarovargas,0.0,15.169999999999998,0.024999999999999967
"Vivas, Jorbit",678391,2025,66,56,9,1,0,5,13,0.161,0.266,0.25,0.516,0.089,0.238,0.256,0.344,0.282,0.311,84.95,17.4,4.75,6,5,2025,Vivas,Jorbit,Jorbit Vivas,jorbitvivas,0.029000000000000026,15.040000000000006,0.062
"Gasper, Mickey",681508,2025,110,95,15,2,2,10,20,0.158,0.257,0.232,0.489,0.074,0.244,0.199,0.289,0.258,0.261,88.3,19.4,3.05,15,11,2025,Gasper,Mickey,Mickey Gasper,mickeygasper,0.0030000000000000027,14.959999999999994,0.055999999999999994
