"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,data_year,last_name,first_name,Name,Name_norm,diff_xwoba,breakout_score,diff_babip
"Valenzuela, Brandon",678218,2026,168,147,36,7,1,19,42,0.245,0.329,0.429,0.758,0.184,0.293,0.251,0.42,0.334,0.334,89.5,17.4,8.4,17,19,2026,Valenzuela,Brandon,Brandon Valenzuela,brandonvalenzuela,0.0,26.830000000000002,0.007000000000000006
"Marte, Starling",516782,2025,329,293,79,9,7,22,68,0.27,0.335,0.41,0.745,0.14,0.334,0.247,0.397,0.312,0.316,88.65,10.0,10.2,37,34,2025,Marte,Starling,Starling Marte,starlingmarte,0.0040000000000000036,26.640000000000008,-0.03400000000000003
"Vaughn, Andrew",683734,2025,447,406,103,14,0,31,80,0.254,0.307,0.411,0.718,0.157,0.322,0.285,0.444,0.357,0.354,90.55,13.3,7.9,35,65,2025,Vaughn,Andrew,Andrew Vaughn,andrewvaughn,-0.0030000000000000027,26.639999999999993,-0.02200000000000002
"Marte, Noelvi",682622,2025,360,339,89,14,10,16,85,0.263,0.3,0.448,0.748,0.185,0.267,0.238,0.409,0.302,0.303,88.75,12.7,8.65,45,51,2025,Marte,Noelvi,Noelvi Marte,noelvimarte,0.0010000000000000009,26.59,0.032999999999999974
"Halpin, Petey",690984,2026,56,53,9,0,2,1,16,0.17,0.185,0.226,0.411,0.056,0.243,0.199,0.313,0.182,0.228,87.8,23.5,7.7,8,1,2026,Halpin,Petey,Petey Halpin,peteyhalpin,0.04600000000000001,26.089999999999996,0.056999999999999995
"McCann, James",543510,2025,137,123,32,5,0,8,33,0.26,0.324,0.431,0.755,0.171,0.3,0.21,0.345,0.268,0.26,91.45,8.3,7.2,18,17,2025,McCann,James,James McCann,jamesmccann,-0.008000000000000007,25.860000000000007,0.0
"Yastrzemski, Mike",573262,2025,558,477,111,17,7,72,108,0.233,0.333,0.403,0.736,0.17,0.273,0.231,0.373,0.307,0.309,90.75,20.4,6.3,68,46,2025,Yastrzemski,Mike,Mike Yastrzemski,mikeyastrzemski,0.0020000000000000018,25.79,0.02699999999999997
"Romo, Drew",691011,2026,108,95,13,5,1,10,28,0.137,0.224,0.337,0.561,0.2,0.127,0.183,0.316,0.249,0.261,84.7,12.9,8.7,9,11,2026,Romo,Drew,Drew Romo,drewromo,0.01200000000000001,25.630000000000006,0.173
"Higashioka, Kyle",543309,2025,327,303,73,11,3,20,72,0.241,0.291,0.403,0.694,0.162,0.284,0.23,0.374,0.301,0.296,88.6,17.2,9.05,33,47,2025,Higashioka,Kyle,Kyle Higashioka,kylehigashioka,-0.0050000000000000044,25.61999999999999,0.016000000000000014
"Tovar, Ezequiel",678662,2025,390,360,91,9,5,21,98,0.253,0.294,0.4,0.694,0.147,0.299,0.242,0.406,0.281,0.3,88.55,16.4,8.3,44,33,2025,Tovar,Ezequiel,Ezequiel Tovar,ezequieltovar,0.01899999999999996,25.269999999999992,0.0010000000000000009
"Tena, José",677588,2025,169,152,37,0,3,15,37,0.243,0.314,0.355,0.669,0.112,0.321,0.24,0.366,0.291,0.297,90.55,1.2,7.35,19,16,2025,Tena,José,José Tena,josetena,0.006000000000000005,25.169999999999995,-0.02100000000000002
"Bader, Harrison",664056,2025,501,448,124,17,11,39,136,0.277,0.347,0.449,0.796,0.172,0.275,0.218,0.37,0.292,0.284,88.2,12.7,9.2,61,54,2025,Bader,Harrison,Harrison Bader,harrisonbader,-0.008000000000000007,25.09,0.024999999999999967
"Piñango, Yohendrick",682818,2026,140,131,37,5,0,9,31,0.282,0.329,0.45,0.779,0.168,0.337,0.273,0.423,0.341,0.324,90.9,9.2,8.0,10,18,2026,Piñango,Yohendrick,Yohendrick Piñango,yohendrickpinango,-0.017000000000000015,25.070000000000007,-0.03700000000000003
"Cortes, Carlos",666126,2025,99,94,29,4,0,3,20,0.309,0.323,0.543,0.866,0.234,0.318,0.274,0.442,0.356,0.334,89.75,16.3,8.75,11,14,2025,Cortes,Carlos,Carlos Cortes,carloscortes,-0.021999999999999964,25.020000000000003,-0.018000000000000016
"Semien, Marcus",543760,2025,534,470,108,15,11,50,93,0.23,0.305,0.364,0.669,0.134,0.248,0.249,0.404,0.284,0.317,87.25,19.4,7.4,62,62,2025,Semien,Marcus,Marcus Semien,marcussemien,0.03300000000000003,24.880000000000003,0.05199999999999999
"Mack, Joe",691788,2026,136,123,31,4,0,10,34,0.252,0.313,0.39,0.703,0.138,0.318,0.244,0.408,0.312,0.313,88.9,12.0,8.8,19,18,2026,Mack,Joe,Joe Mack,joemack,0.0010000000000000009,24.84000000000001,-0.018000000000000016
"Matthews, Brice",694728,2026,205,189,37,6,2,13,67,0.196,0.246,0.328,0.574,0.132,0.265,0.195,0.351,0.254,0.265,87.5,12.0,8.9,19,18,2026,Matthews,Brice,Brice Matthews,bricematthews,0.01100000000000001,24.730000000000004,0.034999999999999976
"Troy, Tommy",694371,2026,99,89,21,3,0,10,22,0.236,0.313,0.393,0.706,0.157,0.281,0.24,0.414,0.313,0.32,84.4,12.9,11.9,17,7,2026,Troy,Tommy,Tommy Troy,tommytroy,0.007000000000000006,24.510000000000012,0.01899999999999996
"Doyle, Brenton",686668,2025,538,502,117,15,18,30,138,0.233,0.274,0.376,0.65,0.143,0.302,0.217,0.345,0.267,0.274,88.85,9.8,8.4,57,57,2025,Doyle,Brenton,Brenton Doyle,brentondoyle,0.007000000000000006,24.439999999999987,-0.0020000000000000018
"Volpe, Anthony",683011,2025,596,539,114,19,18,43,150,0.212,0.272,0.391,0.663,0.179,0.295,0.232,0.373,0.304,0.306,89.05,12.4,7.75,65,72,2025,Volpe,Anthony,Anthony Volpe,anthonyvolpe,0.0020000000000000018,24.129999999999995,0.0050000000000000044
"Diaz, Yainer",673237,2025,567,542,139,20,1,20,95,0.256,0.284,0.417,0.701,0.161,0.278,0.266,0.416,0.292,0.307,88.7,10.2,7.05,56,70,2025,Diaz,Yainer,Yainer Diaz,yainerdiaz,0.015000000000000013,23.940000000000005,0.021999999999999964
"Lowe, Josh",666139,2025,435,396,87,11,18,33,109,0.22,0.283,0.366,0.649,0.146,0.26,0.224,0.366,0.266,0.282,88.85,9.3,6.65,56,40,2025,Lowe,Josh,Josh Lowe,joshlowe,0.01599999999999996,23.919999999999987,0.03999999999999998
"Smith, Pavin",656976,2025,288,244,63,8,2,41,92,0.258,0.362,0.434,0.796,0.176,0.276,0.2,0.322,0.292,0.296,87.9,12.4,8.3,36,28,2025,Smith,Pavin,Pavin Smith,pavinsmith,0.0040000000000000036,23.84000000000001,0.023999999999999966
"Haase, Eric",606992,2025,77,70,16,2,0,4,31,0.229,0.289,0.357,0.646,0.128,0.3,0.204,0.374,0.294,0.277,84.45,5.4,13.35,11,9,2025,Haase,Eric,Eric Haase,erichaase,-0.01699999999999996,23.78000000000001,0.0
"Bailey, Patrick",672275,2025,452,409,91,6,1,30,133,0.222,0.277,0.325,0.602,0.103,0.266,0.218,0.35,0.242,0.274,89.05,15.6,5.95,47,55,2025,Bailey,Patrick,Patrick Bailey,patrickbailey,0.03200000000000003,23.739999999999995,0.033999999999999975
"Kirk, Alejandro",672386,2025,506,451,127,15,1,48,59,0.282,0.348,0.421,0.769,0.139,0.248,0.242,0.389,0.296,0.302,88.1,11.9,7.2,45,76,2025,Kirk,Alejandro,Alejandro Kirk,alejandrokirk,0.006000000000000005,23.71999999999999,0.05199999999999999
"Cronenworth, Jake",630105,2025,515,419,103,11,3,69,107,0.246,0.367,0.377,0.744,0.131,0.238,0.222,0.339,0.282,0.312,87.95,14.9,5.85,61,59,2025,Cronenworth,Jake,Jake Cronenworth,jakecronenworth,0.030000000000000027,23.34000000000001,0.062
"Wilson, Weston",642215,2025,125,111,22,5,2,12,34,0.198,0.282,0.369,0.651,0.171,0.25,0.23,0.374,0.289,0.31,87.8,14.4,6.6,15,17,2025,Wilson,Weston,Weston Wilson,westonwilson,0.02100000000000002,23.179999999999993,0.04999999999999999
"Eaton, Nate",681987,2025,90,81,24,1,9,6,19,0.296,0.348,0.383,0.731,0.087,0.344,0.243,0.4,0.341,0.318,90.12,8.8,8.302,16,4,2025,Eaton,Nate,Nate Eaton,nateeaton,-0.02300000000000002,23.164000000000005,-0.043999999999999984
"White, Eli",642201,2025,271,256,60,10,10,11,70,0.234,0.27,0.406,0.676,0.172,0.264,0.246,0.393,0.282,0.297,87.4,11.3,7.7,43,35,2025,White,Eli,Eli White,eliwhite,0.015000000000000013,23.140000000000015,0.035999999999999976
"Bogaerts, Xander",593428,2025,552,491,129,11,20,48,94,0.263,0.328,0.391,0.719,0.128,0.275,0.255,0.393,0.304,0.322,88.5,11.1,6.5,63,53,2025,Bogaerts,Xander,Xander Bogaerts,xanderbogaerts,0.018000000000000016,23.129999999999995,0.024999999999999967
"Shewmake, Braden",669699,2026,79,74,18,3,0,2,13,0.243,0.26,0.405,0.665,0.162,0.254,0.236,0.388,0.286,0.281,89.5,13.7,6.3,8,8,2026,Shewmake,Braden,Braden Shewmake,bradenshewmake,-0.004999999999999949,23.120000000000005,0.045999999999999985
"Bohm, Alec",664761,2025,504,464,133,11,2,29,82,0.287,0.331,0.409,0.74,0.122,0.276,0.257,0.383,0.299,0.306,90.2,6.8,5.35,53,59,2025,Bohm,Alec,Alec Bohm,alecbohm,0.007000000000000006,22.980000000000004,0.023999999999999966
"Kelly, Carson",608348,2025,421,369,92,17,2,45,80,0.249,0.333,0.428,0.761,0.179,0.297,0.242,0.4,0.336,0.323,88.7,16.4,8.0,48,50,2025,Kelly,Carson,Carson Kelly,carsonkelly,-0.013000000000000012,22.970000000000006,0.0030000000000000027
"Kreidler, Ryan",668952,2026,101,90,26,4,0,10,17,0.289,0.366,0.5,0.866,0.211,0.319,0.25,0.445,0.377,0.34,88.4,13.8,9.6,16,20,2026,Kreidler,Ryan,Ryan Kreidler,ryankreidler,-0.03699999999999998,22.89000000000001,-0.019000000000000017
"Torres, Gleyber",650402,2025,628,532,136,16,4,85,101,0.256,0.358,0.387,0.745,0.131,0.306,0.262,0.426,0.344,0.353,87.65,14.3,8.05,79,74,2025,Torres,Gleyber,Gleyber Torres,gleybertorres,0.009000000000000008,22.880000000000013,-0.006000000000000005
"Yelich, Christian",592885,2025,644,573,151,29,16,64,167,0.264,0.343,0.452,0.795,0.188,0.336,0.234,0.404,0.334,0.313,89.4,1.9,8.6,88,103,2025,Yelich,Christian,Christian Yelich,christianyelich,-0.02100000000000002,22.78000000000001,-0.03600000000000003
"Wade Jr., LaMonte",664774,2025,242,209,35,2,1,27,58,0.167,0.271,0.254,0.525,0.087,0.24,0.206,0.335,0.271,0.283,89.037,21.9,5.358,19,18,2025,Wade Jr.,LaMonte,LaMonte Wade Jr.,lamontewadejr,0.011999999999999955,22.41000000000001,0.06
"Kim, Ha-Seong",673490,2025,191,171,40,5,6,16,39,0.234,0.304,0.345,0.649,0.111,0.186,0.196,0.279,0.208,0.253,87.25,15.7,4.75,19,17,2025,Kim,Ha-Seong,Ha-Seong Kim,haseongkim,0.04500000000000001,22.36,0.11399999999999999
"Freeland, Alex",690976,2025,97,84,16,2,1,11,35,0.19,0.292,0.31,0.602,0.12,0.307,0.196,0.319,0.282,0.276,89.9,20.7,6.9,10,6,2025,Freeland,Alex,Alex Freeland,alexfreeland,-0.00599999999999995,22.290000000000017,-0.007000000000000006
"Schuemann, Max",680474,2025,213,183,36,2,7,22,35,0.197,0.295,0.273,0.568,0.076,0.249,0.207,0.327,0.306,0.308,87.476,12.4,7.176,20,13,2025,Schuemann,Max,Max Schuemann,maxschuemann,0.0020000000000000018,22.174,0.05099999999999999
"Gelof, Zack",680869,2025,101,92,16,2,1,7,46,0.174,0.23,0.272,0.502,0.098,0.324,0.187,0.345,0.293,0.258,88.7,15.2,9.8,12,7,2025,Gelof,Zack,Zack Gelof,zackgelof,-0.034999999999999976,22.16000000000001,-0.02400000000000002
"Del Castillo, Adrian",680728,2025,131,120,29,4,0,8,47,0.242,0.29,0.392,0.682,0.15,0.294,0.201,0.336,0.27,0.264,89.6,19.0,6.5,9,17,2025,Del Castillo,Adrian,Adrian Del Castillo,adriandelcastillo,-0.006000000000000005,21.29999999999999,0.006000000000000005
"Jansen, Danny",643376,2025,337,288,62,14,0,42,86,0.215,0.321,0.399,0.72,0.184,0.239,0.183,0.314,0.294,0.276,87.65,24.0,7.4,38,36,2025,Jansen,Danny,Danny Jansen,dannyjansen,-0.01799999999999996,21.230000000000015,0.061
"Jackson, Jeremiah",669236,2025,183,170,47,5,0,11,50,0.276,0.328,0.447,0.775,0.171,0.322,0.238,0.395,0.312,0.29,89.95,10.9,7.15,20,21,2025,Jackson,Jeremiah,Jeremiah Jackson,jeremiahjackson,-0.02200000000000002,21.14,-0.02200000000000002
"Peraza, Oswald",672724,2025,265,244,40,5,9,17,80,0.164,0.223,0.25,0.473,0.086,0.28,0.22,0.348,0.264,0.273,87.3,8.0,7.65,24,20,2025,Peraza,Oswald,Oswald Peraza,oswaldperaza,0.009000000000000008,21.079999999999995,0.019999999999999962
"Trammell, Taylor",666211,2025,135,117,23,3,3,17,41,0.197,0.296,0.333,0.629,0.136,0.341,0.196,0.329,0.306,0.274,90.45,15.5,7.6,15,12,2025,Trammell,Taylor,Taylor Trammell,taylortrammell,-0.03199999999999997,20.970000000000006,-0.041000000000000036
"Sosa, Edmundo",624641,2025,261,243,67,11,1,10,56,0.276,0.307,0.469,0.776,0.193,0.282,0.266,0.431,0.306,0.316,87.4,9.4,6.95,30,39,2025,Sosa,Edmundo,Edmundo Sosa,edmundososa,0.010000000000000009,20.720000000000013,0.018000000000000016
"Bart, Joey",663698,2025,332,285,71,4,1,40,93,0.249,0.355,0.34,0.695,0.091,0.33,0.22,0.383,0.304,0.295,87.2,9.0,9.3,21,30,2025,Bart,Joey,Joey Bart,joeybart,-0.009000000000000008,20.680000000000003,-0.030000000000000027
"Rojas, Josh",668942,2025,211,189,34,2,4,19,48,0.18,0.252,0.259,0.511,0.079,0.233,0.205,0.314,0.25,0.259,89.516,13.4,4.172,14,11,2025,Rojas,Josh,Josh Rojas,joshrojas,0.009000000000000008,20.62600000000001,0.06699999999999998
"Beavers, Dylan",687637,2025,137,110,25,4,2,26,36,0.227,0.375,0.4,0.775,0.173,0.306,0.224,0.386,0.33,0.326,88.1,21.2,7.25,16,14,2025,Beavers,Dylan,Dylan Beavers,dylanbeavers,-0.0040000000000000036,20.599999999999987,-0.006000000000000005
"Mayer, Marcelo",691785,2025,136,127,29,4,0,8,41,0.228,0.272,0.402,0.674,0.174,0.281,0.206,0.322,0.278,0.261,88.05,6.7,7.65,20,10,2025,Mayer,Marcelo,Marcelo Mayer,marcelomayer,-0.017000000000000015,20.209999999999994,0.01899999999999996
"Carter, Evan",694497,2025,220,194,48,5,14,19,41,0.247,0.336,0.392,0.728,0.145,0.25,0.22,0.348,0.301,0.301,87.35,13.7,6.45,31,25,2025,Carter,Evan,Evan Carter,evancarter,0.0,20.11999999999999,0.04999999999999999
"Gurriel Jr., Lourdes",666971,2025,546,500,124,19,10,31,76,0.248,0.295,0.418,0.713,0.17,0.256,0.243,0.365,0.277,0.294,87.2,16.3,6.05,52,80,2025,Gurriel Jr.,Lourdes,Lourdes Gurriel Jr.,lourdesgurrieljr,0.01699999999999996,19.94,0.043999999999999984
"Young, Cole",702284,2025,257,223,47,4,1,28,47,0.211,0.302,0.305,0.607,0.094,0.267,0.25,0.382,0.288,0.312,87.85,17.2,5.2,24,24,2025,Young,Cole,Cole Young,coleyoung,0.02400000000000002,19.90999999999999,0.032999999999999974
"Ramírez, Pedro",699393,2026,53,49,13,1,2,3,8,0.265,0.308,0.388,0.696,0.123,0.3,0.275,0.383,0.307,0.306,90.0,7.9,4.8,7,6,2026,Ramírez,Pedro,Pedro Ramírez,pedroramirez,-0.0010000000000000009,19.64,0.0
"Massey, Michael",686681,2025,277,262,64,3,2,9,43,0.244,0.268,0.313,0.581,0.069,0.282,0.238,0.383,0.287,0.281,89.1,22.2,5.7,20,20,2025,Massey,Michael,Michael Massey,michaelmassey,-0.00599999999999995,19.639999999999993,0.018000000000000016
"Yoshida, Masataka",807799,2025,205,188,50,4,3,10,24,0.266,0.307,0.388,0.695,0.122,0.276,0.26,0.366,0.304,0.312,89.35,5.7,4.4,16,26,2025,Yoshida,Masataka,Masataka Yoshida,masatakayoshida,0.008000000000000007,19.57999999999999,0.023999999999999966
"Jordan, Blaze",691458,2026,50,45,12,1,0,2,5,0.267,0.28,0.444,0.724,0.177,0.262,0.226,0.347,0.302,0.276,88.1,7.9,7.0,5,12,2026,Jordan,Blaze,Blaze Jordan,blazejordan,-0.025999999999999968,19.53999999999999,0.03799999999999998
"Larnach, Trevor",663616,2025,567,503,126,17,4,53,122,0.25,0.323,0.404,0.727,0.154,0.32,0.256,0.398,0.34,0.326,88.7,10.9,6.85,62,60,2025,Larnach,Trevor,Trevor Larnach,trevorlarnach,-0.014000000000000012,19.500000000000004,-0.020000000000000018
"Heim, Jonah",641680,2025,433,395,84,11,3,32,88,0.213,0.271,0.332,0.603,0.119,0.242,0.226,0.368,0.306,0.289,87.45,14.5,6.6,38,43,2025,Heim,Jonah,Jonah Heim,jonahheim,-0.017000000000000015,19.420000000000005,0.057999999999999996
"Lee, Hao-Yu",701678,2026,125,119,31,3,1,5,34,0.261,0.29,0.395,0.685,0.134,0.341,0.227,0.375,0.3,0.275,88.7,18.3,8.1,8,10,2026,Lee,Hao-Yu,Hao-Yu Lee,haoyulee,-0.024999999999999967,19.050000000000008,-0.041000000000000036
"Dunn, Blake",694362,2025,75,60,9,1,1,8,25,0.15,0.32,0.233,0.553,0.083,0.294,0.215,0.303,0.296,0.292,88.85,-0.3,5.75,10,7,2025,Dunn,Blake,Blake Dunn,blakedunn,-0.0040000000000000036,19.01999999999999,0.006000000000000005
"Young, Jacob",696285,2025,364,324,75,2,15,27,65,0.231,0.296,0.287,0.583,0.056,0.268,0.259,0.362,0.275,0.3,88.4,3.8,4.25,34,31,2025,Young,Jacob,Jacob Young,jacobyoung,0.024999999999999967,18.900000000000006,0.03199999999999997
"Pagés, Pedro",686780,2025,389,361,83,11,0,19,107,0.23,0.272,0.363,0.635,0.133,0.277,0.217,0.354,0.273,0.27,87.5,12.4,6.75,38,45,2025,Pagés,Pedro,Pedro Pagés,pedropages,-0.0030000000000000027,18.81,0.022999999999999965
"Donovan, Brendan",680977,2025,515,460,132,10,3,42,67,0.287,0.353,0.422,0.775,0.135,0.307,0.272,0.416,0.355,0.346,87.8,12.2,6.6,64,50,2025,Donovan,Brendan,Brendan Donovan,brendandonovan,-0.009000000000000008,18.64999999999999,-0.007000000000000006
"Mateo, Jorge",622761,2025,83,79,14,1,15,4,30,0.177,0.217,0.266,0.483,0.089,0.307,0.22,0.357,0.265,0.269,87.85,9.8,6.8,9,3,2025,Mateo,Jorge,Jorge Mateo,jorgemateo,0.0040000000000000036,18.64999999999999,-0.007000000000000006
"Fry, David",681807,2025,157,146,25,8,1,9,58,0.171,0.229,0.363,0.592,0.192,0.248,0.161,0.268,0.282,0.236,87.35,23.0,8.05,16,23,2025,Fry,David,David Fry,davidfry,-0.045999999999999985,18.43999999999999,0.05199999999999999
"Ewing, A.J.",805999,2026,166,144,39,3,8,19,42,0.271,0.354,0.396,0.75,0.125,0.36,0.282,0.421,0.334,0.347,88.9,12.5,5.7,16,15,2026,Ewing,A.J.,A.J. Ewing,ajewing,0.012999999999999956,18.180000000000007,-0.06
"Mullins, Cedric",656775,2025,498,435,94,17,22,50,120,0.216,0.299,0.391,0.69,0.175,0.244,0.2,0.328,0.289,0.275,88.55,23.3,4.95,58,59,2025,Mullins,Cedric,Cedric Mullins,cedricmullins,-0.013999999999999957,18.18,0.055999999999999994
"Johnston, Troy",687859,2025,121,112,31,4,2,8,26,0.277,0.331,0.42,0.751,0.143,0.351,0.279,0.426,0.344,0.335,89.4,14.6,5.95,12,13,2025,Johnston,Troy,Troy Johnston,troyjohnston,-0.008999999999999952,18.130000000000017,-0.05099999999999999
"Jones, Spencer",682987,2026,71,62,14,2,1,9,29,0.226,0.324,0.355,0.679,0.129,0.387,0.164,0.277,0.308,0.253,95.8,19.1,3.1,5,7,2026,Jones,Spencer,Spencer Jones,spencerjones,-0.05499999999999999,18.109999999999996,-0.08700000000000002
"Thomas, Lane",657041,2025,142,125,20,4,4,14,44,0.16,0.246,0.272,0.518,0.112,0.228,0.2,0.308,0.268,0.278,87.45,23.5,4.6,10,11,2025,Thomas,Lane,Lane Thomas,lanethomas,0.010000000000000009,18.060000000000006,0.07199999999999998
"Lile, Daylen",695734,2025,351,321,96,9,8,21,56,0.299,0.347,0.498,0.845,0.199,0.31,0.278,0.426,0.335,0.331,88.1,15.0,6.0,51,41,2025,Lile,Daylen,Daylen Lile,daylenlile,-0.0040000000000000036,17.99999999999999,-0.010000000000000009
"Osuna, Alejandro",696030,2025,176,151,32,2,5,21,34,0.212,0.313,0.278,0.591,0.066,0.284,0.272,0.359,0.288,0.331,88.45,12.0,3.0,12,15,2025,Osuna,Alejandro,Alejandro Osuna,alejandroosuna,0.04300000000000004,17.760000000000012,0.016000000000000014
"Campusano, Luis",669134,2026,58,52,15,3,0,5,15,0.288,0.362,0.596,0.958,0.308,0.353,0.251,0.449,0.408,0.34,86.5,11.9,10.8,9,10,2026,Campusano,Luis,Luis Campusano,luiscampusano,-0.06799999999999995,17.310000000000006,-0.05299999999999999
"Marsee, Jakob",805300,2025,234,209,61,5,14,22,48,0.292,0.363,0.478,0.841,0.186,0.308,0.248,0.376,0.326,0.324,87.9,10.9,5.75,28,33,2025,Marsee,Jakob,Jakob Marsee,jakobmarsee,-0.0020000000000000018,17.220000000000013,-0.008000000000000007
"Church, Nathan",701675,2025,65,56,10,1,1,3,18,0.179,0.254,0.25,0.504,0.071,0.272,0.218,0.33,0.268,0.269,87.55,5.4,5.6,9,8,2025,Church,Nathan,Nathan Church,nathanchurch,0.0010000000000000009,17.159999999999993,0.02799999999999997
"Lee, Brooks",686797,2025,527,487,115,16,3,31,92,0.236,0.285,0.37,0.655,0.134,0.253,0.232,0.358,0.305,0.284,88.2,13.2,5.15,50,64,2025,Lee,Brooks,Brooks Lee,brookslee,-0.02100000000000002,17.050000000000004,0.046999999999999986
"Perkins, Blake",663368,2025,171,155,35,3,7,15,47,0.226,0.298,0.348,0.646,0.122,0.254,0.21,0.311,0.261,0.27,88.2,6.2,4.1,25,19,2025,Perkins,Blake,Blake Perkins,blakeperkins,0.009000000000000008,17.020000000000003,0.045999999999999985
"Taylor, Tyrone",621438,2025,341,310,69,2,12,16,76,0.223,0.279,0.319,0.598,0.096,0.243,0.232,0.353,0.248,0.273,86.35,19.4,4.95,34,27,2025,Taylor,Tyrone,Tyrone Taylor,tyronetaylor,0.025000000000000022,16.90999999999999,0.056999999999999995
"Collins, Isaac",686555,2025,441,372,98,9,16,57,93,0.263,0.368,0.411,0.779,0.148,0.314,0.24,0.342,0.324,0.316,88.6,12.2,5.35,56,54,2025,Collins,Isaac,Isaac Collins,isaaccollins,-0.008000000000000007,16.87999999999999,-0.014000000000000012
"Díaz, Elias",553869,2025,283,255,52,9,0,21,74,0.204,0.27,0.337,0.607,0.133,0.28,0.22,0.342,0.294,0.263,87.25,17.7,7.2,34,29,2025,Díaz,Elias,Elias Díaz,eliasdiaz,-0.030999999999999972,16.680000000000003,0.019999999999999962
"Martínez, Angel",682657,2025,484,446,100,11,8,23,110,0.224,0.269,0.359,0.628,0.135,0.268,0.234,0.362,0.292,0.28,87.5,18.4,5.7,56,45,2025,Martínez,Angel,Angel Martínez,angelmartinez,-0.011999999999999955,16.640000000000004,0.03199999999999997
"Fermin, Freddy",666023,2025,347,319,80,5,1,19,65,0.251,0.297,0.339,0.636,0.088,0.23,0.211,0.308,0.256,0.268,87.75,14.2,3.6,32,26,2025,Fermin,Freddy,Freddy Fermin,freddyfermin,0.01200000000000001,16.520000000000003,0.06999999999999998
"Rojas, Miguel",500743,2025,317,290,76,7,5,24,46,0.262,0.318,0.397,0.715,0.135,0.288,0.266,0.38,0.311,0.31,87.55,12.9,5.35,35,27,2025,Rojas,Miguel,Miguel Rojas,miguelrojas,-0.0010000000000000009,16.519999999999992,0.01200000000000001
"Torres, Bryan",663494,2026,50,44,10,2,1,5,8,0.227,0.306,0.409,0.715,0.182,0.235,0.26,0.392,0.315,0.324,85.4,8.8,5.6,6,5,2026,Torres,Bryan,Bryan Torres,bryantorres,0.009000000000000008,16.45000000000001,0.065
"Smith, Dominic",642086,2025,225,204,58,5,2,15,42,0.284,0.333,0.417,0.75,0.133,0.307,0.262,0.412,0.322,0.316,87.75,15.1,5.65,26,33,2025,Smith,Dominic,Dominic Smith,dominicsmith,-0.006000000000000005,16.29,-0.007000000000000006
"Vilade, Ryan",668723,2026,139,123,34,5,3,12,28,0.276,0.333,0.463,0.796,0.187,0.312,0.247,0.404,0.344,0.31,89.6,18.8,5.1,12,27,2026,Vilade,Ryan,Ryan Vilade,ryanvilade,-0.033999999999999975,16.279999999999987,-0.01200000000000001
"Meyers, Jake",676694,2025,381,343,100,3,16,31,67,0.292,0.354,0.373,0.727,0.081,0.295,0.234,0.36,0.291,0.291,87.1,9.8,6.0,53,24,2025,Meyers,Jake,Jake Meyers,jakemeyers,0.0,16.26999999999999,0.0050000000000000044
"Beck, Jordan",687597,2025,588,539,139,16,19,43,174,0.258,0.317,0.416,0.733,0.158,0.292,0.228,0.357,0.276,0.28,86.35,12.8,6.45,62,53,2025,Beck,Jordan,Jordan Beck,jordanbeck,0.0040000000000000036,15.919999999999991,0.008000000000000007
"Acuña, Luisangel",682668,2025,193,175,41,0,16,13,37,0.234,0.293,0.274,0.567,0.04,0.279,0.24,0.311,0.247,0.272,88.6,3.4,2.9,30,8,2025,Acuña,Luisangel,Luisangel Acuña,luisangelacuna,0.025000000000000022,15.48999999999999,0.020999999999999963
"Monasterio, Andruw",655316,2025,135,126,34,4,2,7,32,0.27,0.319,0.437,0.756,0.167,0.307,0.228,0.359,0.306,0.279,87.7,20.8,6.45,19,16,2025,Monasterio,Andruw,Andruw Monasterio,andruwmonasterio,-0.02699999999999997,15.370000000000008,-0.007000000000000006
"Karros, Kyle",691720,2025,156,137,31,1,0,15,41,0.226,0.308,0.277,0.585,0.051,0.31,0.232,0.33,0.298,0.296,88.65,12.3,4.3,20,9,2025,Karros,Kyle,Kyle Karros,kylekarros,-0.0020000000000000018,15.16000000000001,-0.010000000000000009
"Vargas, Ildemaro",545121,2025,121,115,31,3,0,2,15,0.27,0.292,0.383,0.675,0.113,0.275,0.272,0.384,0.3,0.3,88.0,3.3,3.95,12,19,2025,Vargas,Ildemaro,Ildemaro Vargas,ildemarovargas,0.0,15.149999999999999,0.024999999999999967
"Taveras, Leody",665750,2025,180,171,35,3,9,5,50,0.205,0.226,0.304,0.53,0.099,0.302,0.212,0.32,0.268,0.259,87.9,21.2,5.25,13,17,2025,Taveras,Leody,Leody Taveras,leodytaveras,-0.009000000000000008,14.66000000000001,-0.0020000000000000018
"Gasper, Mickey",681508,2025,110,95,15,2,2,10,20,0.158,0.257,0.232,0.489,0.074,0.238,0.196,0.285,0.254,0.258,88.05,19.4,2.9,15,11,2025,Gasper,Mickey,Mickey Gasper,mickeygasper,0.0040000000000000036,14.479999999999995,0.062
"Loperfido, Joey",694388,2025,104,96,32,4,1,4,27,0.333,0.379,0.5,0.879,0.167,0.362,0.25,0.377,0.34,0.31,88.35,11.7,6.4,12,14,2025,Loperfido,Joey,Joey Loperfido,joeyloperfido,-0.030000000000000027,14.199999999999987,-0.062
